EAD_MATRIX_ID;SCENARIO_ID;TERM;EAD_RA_RATE
BCEF_MORTGAGE_Q;C;0;0,993416733
BCEF_MORTGAGE_Q;C;0,25;0,980642501
BCEF_MORTGAGE_Q;C;0,5;0,968016941
BCEF_MORTGAGE_Q;C;0,75;0,955056387
BCEF_MORTGAGE_Q;C;1;0,941929681
BCEF_MORTGAGE_Q;C;1,25;0,928848336
BCEF_MORTGAGE_Q;C;1,5;0,916012977
BCEF_MORTGAGE_Q;C;1,75;0,90345674
BCEF_MORTGAGE_Q;C;2;0,891062968
BCEF_MORTGAGE_Q;C;2,25;0,878843107
BCEF_MORTGAGE_Q;C;2,5;0,866903136
BCEF_MORTGAGE_Q;C;2,75;0,855231891
BCEF_MORTGAGE_Q;C;3;0,843872481
BCEF_MORTGAGE_Q;C;3,25;0,832948756
BCEF_MORTGAGE_Q;C;3,5;0,822276648
BCEF_MORTGAGE_Q;C;3,75;0,811813264
BCEF_MORTGAGE_Q;C;4;0,801770203
BCEF_MORTGAGE_Q;C;4,25;0,792089498
BCEF_MORTGAGE_Q;C;4,5;0,782708448
BCEF_MORTGAGE_Q;C;4,75;0,773586112
BCEF_MORTGAGE_Q;C;5;0,764739205
BCEF_MORTGAGE_Q;C;5,25;0,756170949
BCEF_MORTGAGE_Q;C;5,5;0,747860983
BCEF_MORTGAGE_Q;C;5,75;0,739751858
BCEF_MORTGAGE_Q;C;6;0,731798037
BCEF_MORTGAGE_Q;C;6,25;0,724020745
BCEF_MORTGAGE_Q;C;6,5;0,716357237
BCEF_MORTGAGE_Q;C;6,75;0,708817733
BCEF_MORTGAGE_Q;C;7;0,701471636
BCEF_MORTGAGE_Q;C;7,25;0,694329247
BCEF_MORTGAGE_Q;C;7,5;0,687415533
BCEF_MORTGAGE_Q;C;7,75;0,680725601
BCEF_MORTGAGE_Q;C;8;0,674260001
BCEF_MORTGAGE_Q;C;8,25;0,667996209
BCEF_MORTGAGE_Q;C;8,5;0,661914305
BCEF_MORTGAGE_Q;C;8,75;0,655983422
BCEF_MORTGAGE_Q;C;9;0,650162421
BCEF_MORTGAGE_Q;C;9,25;0,644445654
BCEF_MORTGAGE_Q;C;9,5;0,638854558
BCEF_MORTGAGE_Q;C;9,75;0,63339221
